Аббаси	Noun
Австралиялық	Noun
Австриялық	Noun
Албаниялық	Noun
Алла	Noun
Аллаһ	Noun
Аргентин	Noun
Ассириялық	Noun
Атлантикалық	Adjective
Ахемен	Noun
Аһимса	Noun
Баск	Noun
Бихар	Noun
Бразилиялық	Noun
Буддизм	Noun
Буддист	Noun
Бурмистер	Adjective
Бұрындық	Adjective
Веда	Noun
Венециялық	Noun
Галилеянин	Adjective
Гаутама	Noun
Голланд	Noun
Голландық	Noun
Грегориандық	Adjective
Дева	Noun
Египтолог	Noun
Еуропалық	Noun
Жапондық	Adjective
Жапондық	Noun
Желмая	Noun
Иврит	Noun
Израильдік	Noun
Изумо	Noun
Ирландық	Noun
Ислам	Noun
Исламист	Noun
Испан	Noun
Испандық	Noun
Иудаизм	Noun
Камерундық	Noun
Кведлинбургтік	Adjective
Кениян	Noun
Кипрлік	Noun
Кореялық	Noun
Косовар	Noun
Крев	Adjective
Кубалық	Adjective
Лава	Noun
Латыш	Noun
Ливиялық	Noun
Маоизм	Noun
Марксшіл	Noun
Махаяна	Noun
Мексика	Noun
Мисс	Noun
Миссис	Noun
Мистер	Noun
Мысырлық	Noun
Мұсылман	Noun
Мұсылмандық	Noun
Наурыз	Noun
Нигериялық	Noun
Норвегиялық	Noun
Олимпиада	Noun
Олимпиадалық	Adjective
Палестиналық	Noun
Римдік	Noun
Румын	Noun
Сакс	Noun
Самани	Noun
Сефеви	Noun
Сиддхарта	Noun
Сионизм	Noun
Сириялық	Noun
Словак	Noun
Сомалилық	Noun
Сопылық	Noun
Трипитака	Noun
Тынық	Adjective
Тәңір	Noun
Украиналық	Noun
Уругвайлық	Noun
Финка	Noun
Франколық	Adjective
Хань	Noun
Хорват	Noun
Христиандық	Noun
Христианин	Noun
Швейцариялық	Noun
Шотландық	Noun
Югослав	Noun
Югославиялық	Noun
Янки	Noun
аба	Noun
абадан	Adjective
абадан	Noun
абажа	Noun
абажадай	Adjective
абажур	Noun
абажурлы	Adjective
абаз	Noun
абазия	Noun
абай	Adjective
абай	Noun
абайла	Verb
абайламаушылық	Noun
абайлаушылық	Noun
абайлағыш	Adjective
абаймен	Adverb
абайсыз	Adjective
абайсызда	Adverb
абайсыздық	Noun
абайтанушы	Noun
абайшылдық	Noun
абака	Noun
абала	Verb
абалақ	Noun
абалақта	Verb
абалақтай	Adjective
абалоне	Noun
абана	Noun
абандон	Noun
абат	Adjective
абатта	Verb
абаттық	Noun
абатшылық	Noun
абақ	Noun
